*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has content type,rdaed:contentType.en,rdaed:P20001,property,rdac:C10006,rdae:P20001,,,Published
has identifier for expression,rdaed:identifierForExpression.en,rdaed:P20002,property,rdac:C10006,rdae:P20002,rdaed:P20311,rdaxd:P00018,Published
has other distinguishing characteristic of expression (Deprecated),rdaed:otherDistinguishingCharacteristicOfExpression.en,rdaed:P20003,property,rdac:C10006,rdae:P20003,,,Deprecated
has date of capture,rdaed:dateOfCapture.en,rdaed:P20004,property,rdac:C10006,rdae:P20004,rdaed:P20214,rdaed:P20217,Published
has award,rdaed:award.en,rdaed:P20005,property,rdac:C10006,rdae:P20005,,,Published
has language of expression,rdaed:languageOfExpression.en,rdaed:P20006,property,rdac:C10006,rdae:P20006,,,Published
has language of content (Deprecated),rdaed:languageOfContent.en,rdaed:P20007,property,rdac:C10006,rdae:P20007,,,Deprecated
is adapted as motion picture expression,rdaed:adaptedAsMotionPictureExpression.en,rdaed:P20009,property,rdac:C10006,rdae:P20009,rdaed:P20153,,Published
has note on changes in content characteristics,rdaed:noteOnChangesInContentCharacteristics.en,rdaed:P20010,property,rdac:C10006,rdae:P20010,rdaed:P20071,,Published
has conductor agent,rdaed:conductorAgent.en,rdaed:P20011,property,rdac:C10006,rdae:P20011,rdaed:P20039,,Published
has actor agent,rdaed:actorAgent.en,rdaed:P20012,property,rdac:C10006,rdae:P20012,rdaed:P20039,,Published
has onscreen presenter agent,rdaed:onscreenPresenterAgent.en,rdaed:P20013,property,rdac:C10006,rdae:P20013,rdaed:P20039,,Published
has dancer agent,rdaed:dancerAgent.en,rdaed:P20014,property,rdac:C10006,rdae:P20014,rdaed:P20039,,Published
has instructor agent,rdaed:instructorAgent.en,rdaed:P20015,property,rdac:C10006,rdae:P20015,rdaed:P20039,,Published
has host agent,rdaed:hostAgent.en,rdaed:P20016,property,rdac:C10006,rdae:P20016,rdaed:P20039,,Published
has moderator agent,rdaed:moderatorAgent.en,rdaed:P20017,property,rdac:C10006,rdae:P20017,rdaed:P20039,,Published
has puppeteer agent,rdaed:puppeteerAgent.en,rdaed:P20018,property,rdac:C10006,rdae:P20018,rdaed:P20039,,Published
has panelist agent,rdaed:panelistAgent.en,rdaed:P20019,property,rdac:C10006,rdae:P20019,rdaed:P20039,,Published
has instrumentalist agent,rdaed:instrumentalistAgent.en,rdaed:P20020,property,rdac:C10006,rdae:P20020,rdaed:P20039,,Published
has commentator agent,rdaed:commentatorAgent.en,rdaed:P20021,property,rdac:C10006,rdae:P20021,rdaed:P20039,,Published
has narrator agent,rdaed:narratorAgent.en,rdaed:P20022,property,rdac:C10006,rdae:P20022,rdaed:P20039,,Published
has storyteller agent,rdaed:storytellerAgent.en,rdaed:P20023,property,rdac:C10006,rdae:P20023,rdaed:P20039,,Published
has speaker agent,rdaed:speakerAgent.en,rdaed:P20024,property,rdac:C10006,rdae:P20024,rdaed:P20039,,Published
has singer agent,rdaed:singerAgent.en,rdaed:P20025,property,rdac:C10006,rdae:P20025,rdaed:P20039,,Published
has composer of expression (Deprecated),rdaed:composerExpression.en,rdaed:P20026,property,rdac:C10006,rdae:P20026,rdaed:P20053,,Deprecated
has surveyor (Deprecated),rdaed:surveyor.en,rdaed:P20027,property,rdac:C10006,rdae:P20027,rdaed:P20053,,Deprecated
has animator agent,rdaed:animatorAgent.en,rdaed:P20028,property,rdac:C10006,rdae:P20028,rdaed:P20329,,Published
has arranger agent of music,rdaed:arrangerAgentOfMusic.en,rdaed:P20029,property,rdac:C10006,rdae:P20029,rdaed:P20327,,Published
has writer of added text (Deprecated),rdaed:writerOfAddedText.en,rdaed:P20030,property,rdac:C10006,rdae:P20030,rdaed:P20046,,Deprecated
has stage director agent,rdaed:stageDirectorAgent.en,rdaed:P20031,property,rdac:C10006,rdae:P20031,rdaed:P20329,,Published
has interviewer agent of expression,rdaa:interviewerAgentOfExpression.en,rdaed:P20032,property,rdac:C10006,rdae:P20032,rdaed:P20329,,Published
has draftsman agent,rdaed:draftsmanAgent.en,rdaed:P20033,property,rdac:C10006,rdae:P20033,rdaed:P20328,,Published
has transcriber agent,rdaed:transcriberAgent.en,rdaed:P20034,property,rdac:C10006,rdae:P20034,rdaed:P20327,,Published
has musical director agent,rdaed:musicalDirectorAgent.en,rdaed:P20035,property,rdac:C10006,rdae:P20035,rdaed:P20329,,Published
has costume designer agent,rdaed:costumeDesignerAgent.en,rdaed:P20036,property,rdac:C10006,rdae:P20036,rdaed:P20329,,Published
has translator agent,rdaed:translatorAgent.en,rdaed:P20037,property,rdac:C10006,rdae:P20037,rdaed:P20053,,Published
has art director agent,rdaed:artDirectorAgent.en,rdaed:P20038,property,rdac:C10006,rdae:P20038,rdaed:P20329,,Published
has performer agent,rdaed:performerAgent.en,rdaed:P20039,property,rdac:C10006,rdae:P20039,rdaed:P20329,,Published
has court reporter agent,rdaed:courtReporterAgent.en,rdaed:P20040,property,rdac:C10006,rdae:P20040,rdaed:P20328,,Published
has writer of preface (Deprecated),rdaed:writerOfPreface.en,rdaed:P20041,property,rdac:C10006,rdae:P20041,rdaed:P20046,,Deprecated
has cartographer of expression (Deprecated),rdaed:cartographerExpression.en,rdaed:P20042,property,rdac:C10006,rdae:P20042,rdaed:P20053,,Deprecated
has choreographer of expression (Deprecated),rdaed:choreographerExpression.en,rdaed:P20043,property,rdac:C10006,rdae:P20043,rdaed:P20053,,Deprecated
has writer of added commentary (Deprecated),rdaed:writerOfAddedCommentary.en,rdaed:P20044,property,rdac:C10006,rdae:P20044,rdaed:P20046,,Deprecated
has writer of introduction (Deprecated),rdaed:writerOfIntroduction.en,rdaed:P20045,property,rdac:C10006,rdae:P20045,rdaed:P20046,,Deprecated
has writer of supplementary textual content (Deprecated),rdaed:writerOfSupplementaryTextualContent.en,rdaed:P20046,property,rdac:C10006,rdae:P20046,rdaed:P20053,,Deprecated
has interviewee agent of expression,rdaa:intervieweeAgentOfExpression.en,rdaed:P20047,property,rdac:C10006,rdae:P20047,rdaed:P20329,,Published
has editor (Deprecated),rdaed:editor.en,rdaed:P20048,property,rdac:C10006,rdae:P20048,rdaed:P20053,,Deprecated
has abridger agent,rdaed:abridgerAgent.en,rdaed:P20049,property,rdac:C10006,rdae:P20049,rdaed:P20327,,Published
has recording engineer agent,rdaed:recordingEngineerAgent.en,rdaed:P20050,property,rdac:C10006,rdae:P20050,rdaed:P20292,,Published
has illustrator (Deprecated),rdaed:illustrator.en,rdaed:P20051,property,rdac:C10006,rdae:P20051,rdaed:P20053,,Deprecated
has recordist agent,rdaed:recordistAgent.en,rdaed:P20052,property,rdac:C10006,rdae:P20052,rdaed:P20329,,Published
has creator agent of expression,rdaed:creatorAgentOfExpression.en,rdaed:P20053,property,rdac:C10006,rdae:P20053,rdaed:P20301,,Published
has presenter agent,rdaed:presenterAgent.en,rdaed:P20054,property,rdac:C10006,rdae:P20054,rdaed:P20039,,Published
has editor agent of moving image work,rdaed:editorAgentOfMovingImageWork.en,rdaed:P20055,property,rdac:C10006,rdae:P20055,rdaed:P20329,,Published
has production designer agent,rdaed:productionDesignerAgent.en,rdaed:P20056,property,rdac:C10006,rdae:P20056,rdaed:P20329,,Published
has minute taker agent,rdaed:minuteTakerAgent.en,rdaed:P20058,property,rdac:C10006,rdae:P20058,rdaed:P20328,,Published
has manifestation of expression,rdaed:manifestationOfExpression.en,rdaed:P20059,property,rdac:C10006,rdae:P20059,rdaed:P20299,,Published
is adapted as radio program expression,rdaed:adaptedAsRadioProgramExpression.en,rdaed:P20060,property,rdac:C10006,rdae:P20060,rdaed:P20153,,Published
has form of tactile notation,rdaed:formOfTactileNotation.en,rdaed:P20061,property,rdac:C10006,rdae:P20061,rdaed:P20062,,Published
has form of notation,rdaed:formOfNotation.en,rdaed:P20062,property,rdac:C10006,rdae:P20062,,,Published
has form of notated movement,rdaed:formOfNotatedMovement.en,rdaed:P20063,property,rdac:C10006,rdae:P20063,rdaed:P20062,,Published
has form of musical notation,rdaed:formOfMusicalNotation.en,rdaed:P20064,property,rdac:C10006,rdae:P20064,rdaed:P20062,,Published
has script,rdaed:script.en,rdaed:P20065,property,rdac:C10006,rdae:P20065,rdaed:P20062,,Published
is adapted as television program expression,rdaed:adaptedAsTelevisionProgramExpression.en,rdaed:P20066,property,rdac:C10006,rdae:P20066,rdaed:P20153,,Published
is adapted as video expression,rdaed:adaptedAsVideoExpression.en,rdaed:P20067,property,rdac:C10006,rdae:P20067,rdaed:P20153,,Published
has writer of added lyrics (Deprecated),rdaed:writerOfAddedLyrics.en,rdaed:P20068,property,rdac:C10006,rdae:P20068,rdaed:P20030,,Deprecated
has summarization of content,rdaed:summarizationOfContent.en,rdaed:P20069,property,rdac:C10006,rdae:P20069,,,Published
has voice actor agent,rdaed:voiceActorAgent.en,rdaed:P20070,property,rdac:C10006,rdae:P20070,rdaed:P20012,,Published
has note on expression,rdaed:noteOnExpression.en,rdaed:P20071,property,rdac:C10006,rdae:P20071,rdaxd:P00015,,Published
is dramatized as expression,rdaed:dramatizedAsExpression.en,rdaed:P20073,property,rdac:C10006,rdae:P20073,rdaed:P20153,,Published
is part of expression,rdaed:partOfExpression.en,rdaed:P20074,property,rdac:C10006,rdae:P20074,rdaed:P20205,,Published
is replaced in part by expression,rdaed:replacedInPartByExpression.en,rdaed:P20075,property,rdac:C10006,rdae:P20075,rdaed:P20169,,Published
is replaced by expression,rdaed:replacedByExpression.en,rdaed:P20076,property,rdac:C10006,rdae:P20076,rdaed:P20169,,Published
is adapted in verse as expression,rdaed:adaptedInVerseAsExpression.en,rdaed:P20077,property,rdac:C10006,rdae:P20077,rdaed:P20153,,Published
is dubbed version of,rdaed:dubbedVersionOf.en,rdaed:P20078,property,rdac:C10006,rdae:P20078,rdaed:P20141,,Published
has dubbed version,rdaed:dubbedVersion.en,rdaed:P20079,property,rdac:C10006,rdae:P20079,rdaed:P20171,,Published
has cadenza expression,rdaed:cadenzaExpression.en,rdaed:P20080,property,rdac:C10006,rdae:P20080,rdaed:P20105,,Published
is variations based on expression,rdaed:variationsBasedOnExpression.en,rdaed:P20081,property,rdac:C10006,rdae:P20081,rdaed:P20204,,Published
is modified by variation as expression,rdaed:modifiedByVariationAsExpression.en,rdaed:P20082,property,rdac:C10006,rdae:P20082,rdaed:P20203,,Published
is cadenza composed for expression,rdaed:cadenzaComposedForExpression.en,rdaed:P20083,property,rdac:C10006,rdae:P20083,rdaed:P20192,,Published
is libretto for expression,rdaed:librettoForExpression.en,rdaed:P20084,property,rdac:C10006,rdae:P20084,rdaed:P20100,,Published
has incidental music expression,rdaed:incidentalMusicExpression.en,rdaed:P20085,property,rdac:C10006,rdae:P20085,rdaed:P20243,,Published
is remade as expression,rdaed:remadeAsExpression.en,rdaed:P20086,property,rdac:C10006,rdae:P20086,rdaed:P20203,,Published
is set to music as expression,rdaed:setToMusicAsExpression.en,rdaed:P20087,property,rdac:C10006,rdae:P20087,rdaed:P20203,,Published
is adapted as novel expression,rdaed:adaptedAsNovelExpression.en,rdaed:P20088,property,rdac:C10006,rdae:P20088,rdaed:P20153,,Published
is appendix to expression,rdaed:appendixToExpression.en,rdaed:P20089,property,rdac:C10006,rdae:P20089,rdaed:P20192,,Published
is abstracted in expression,rdaed:abstractedInExpression.en,rdaed:P20090,property,rdac:C10006,rdae:P20090,rdaed:P20203,,Published
is indexed in expression,rdaed:indexedInExpression.en,rdaed:P20091,property,rdac:C10006,rdae:P20091,rdaed:P20203,,Published
is adapted as choreography expression,rdaed:adaptedAsChoreographyExpression.en,rdaed:P20092,property,rdac:C10006,rdae:P20092,rdaed:P20153,,Published
has errata expression,rdaed:errataExpression.en,rdaed:P20093,property,rdac:C10006,rdae:P20093,rdaed:P20105,,Published
has illustrations expression,rdaed:illustrationsExpression.en,rdaed:P20094,property,rdac:C10006,rdae:P20094,rdaed:P20105,,Published
is adapted as motion picture screenplay expression,rdaed:adaptedAsMotionPictureScreenplayExpression.en,rdaed:P20095,property,rdac:C10006,rdae:P20095,rdaed:P20096,,Published
is adapted as screenplay expression,rdaed:adaptedAsScreenplayExpression.en,rdaed:P20096,property,rdac:C10006,rdae:P20096,rdaed:P20153,,Published
is adapted as television screenplay expression,rdaed:adaptedAsTelevisionScreenplayExpression.en,rdaed:P20097,property,rdac:C10006,rdae:P20097,rdaed:P20096,,Published
is adapted as video screenplay expression,rdaed:adaptedAsVideoScreenplayExpression.en,rdaed:P20098,property,rdac:C10006,rdae:P20098,rdaed:P20096,,Published
is adapted as radio script expression,rdaed:adaptedAsRadioScriptExpression.en,rdaed:P20099,property,rdac:C10006,rdae:P20099,rdaed:P20153,,Published
is complemented by expression,rdaed:complementedByExpression.en,rdaed:P20100,property,rdac:C10006,rdae:P20100,rdaed:P20205,,Published
is separated into expression,rdaed:separatedIntoExpression.en,rdaed:P20101,property,rdac:C10006,rdae:P20101,rdaed:P20169,,Published
is screenplay for expression,rdaed:screenplayForExpression.en,rdaed:P20102,property,rdac:C10006,rdae:P20102,rdaed:P20100,,Published
is incidental music for expression,rdaed:incidentalMusicForExpression.en,rdaed:P20103,property,rdac:C10006,rdae:P20103,rdaed:P20244,,Published
is abstracted as expression,rdaed:abstractedAsExpression.en,rdaed:P20104,property,rdac:C10006,rdae:P20104,rdaed:P20203,,Published
is augmented by expression,rdaed:augmentedByExpression.en,rdaed:P20105,property,rdac:C10006,rdae:P20105,rdaed:P20205,,Published
is summarized as expression,rdaed:summarizedAsExpression.en,rdaed:P20106,property,rdac:C10006,rdae:P20106,rdaed:P20203,,Published
has catalogue expression,rdaed:catalogueExpression.en,rdaed:P20107,property,rdac:C10006,rdae:P20107,rdaed:P20105,,Published
has concordance expression,rdaed:concordanceExpression.en,rdaed:P20108,property,rdac:C10006,rdae:P20108,rdaed:P20105,,Published
has addenda expression,rdaed:addendaExpression.en,rdaed:P20109,property,rdac:C10006,rdae:P20109,rdaed:P20105,,Published
is adapted as libretto expression,rdaed:adaptedAsLibrettoExpression.en,rdaed:P20110,property,rdac:C10006,rdae:P20110,rdaed:P20153,,Published
is imitated as expression,rdaed:imitatedAsExpression.en,rdaed:P20114,property,rdac:C10006,rdae:P20114,rdaed:P20203,,Published
is expanded as expression,rdaed:expandedAsExpression.en,rdaed:P20115,property,rdac:C10006,rdae:P20115,rdaed:P20203,,Published
has appendix expression,rdaed:appendixExpression.en,rdaed:P20118,property,rdac:C10006,rdae:P20118,rdaed:P20105,,Published
is freely translated as expression,rdaed:freelyTranslatedAsExpression.en,rdaed:P20119,property,rdac:C10006,rdae:P20119,rdaed:P20203,,Published
has guide expression,rdaed:guideExpression.en,rdaed:P20120,property,rdac:C10006,rdae:P20120,rdaed:P20105,,Published
is abridgement of expression,rdaed:abridgementOfExpression.en,rdaed:P20121,property,rdac:C10006,rdae:P20121,rdaed:P20204,,Published
is abstract of expression,rdaed:abstractOfExpression.en,rdaed:P20122,property,rdac:C10006,rdae:P20122,rdaed:P20204,,Published
is dramatization of expression,rdaed:dramatizationOfExpression.en,rdaed:P20123,property,rdac:C10006,rdae:P20123,rdaed:P20152,,Published
is verse adaptation of expression,rdaed:verseAdaptationOfExpression.en,rdaed:P20124,property,rdac:C10006,rdae:P20124,rdaed:P20152,,Published
is motion picture adaptation of expression,rdaed:motionPictureAdaptationOfExpression.en,rdaed:P20125,property,rdac:C10006,rdae:P20125,rdaed:P20152,,Published
is novelization of expression,rdaed:novelizationOfExpression.en,rdaed:P20126,property,rdac:C10006,rdae:P20126,rdaed:P20152,,Published
is radio adaptation of expression,rdaed:radioAdaptationOfExpression.en,rdaed:P20127,property,rdac:C10006,rdae:P20127,rdaed:P20152,,Published
is television adaptation of expression,rdaed:televisionAdaptationOfExpression.en,rdaed:P20128,property,rdac:C10006,rdae:P20128,rdaed:P20152,,Published
is screenplay based on expression,rdaed:screenplayBasedOnExpression.en,rdaed:P20129,property,rdac:C10006,rdae:P20129,rdaed:P20152,,Published
is motion picture screenplay based on expression,rdaed:motionPictureScreenplayBasedOnExpression.en,rdaed:P20130,property,rdac:C10006,rdae:P20130,rdaed:P20129,,Published
is television screenplay based on expression,rdaed:televisionScreenplayBasedOnExpression.en,rdaed:P20131,property,rdac:C10006,rdae:P20131,rdaed:P20129,,Published
is video screenplay based on expression,rdaed:videoScreenplayBasedOnExpression.en,rdaed:P20132,property,rdac:C10006,rdae:P20132,rdaed:P20129,,Published
is radio script based on expression,rdaed:radioScriptBasedOnExpression.en,rdaed:P20133,property,rdac:C10006,rdae:P20133,rdaed:P20152,,Published
is video adaptation of expression,rdaed:videoAdaptationOfExpression.en,rdaed:P20134,property,rdac:C10006,rdae:P20134,rdaed:P20152,,Published
is digest of expression,rdaed:digestOfExpression.en,rdaed:P20135,property,rdac:C10006,rdae:P20135,rdaed:P20204,,Published
is absorption of expression,rdaed:absorptionOfExpression.en,rdaed:P20137,property,rdac:C10006,rdae:P20137,rdaed:P20154,,Published
is absorption in part of expression,rdaed:absorptionInPartOfExpression.en,rdaed:P20138,property,rdac:C10006,rdae:P20138,rdaed:P20154,,Published
is arrangement of,rdaed:arrangementOf.en,rdaed:P20139,property,rdac:C10006,rdae:P20139,rdaed:P20204,,Published
is free translation of expression,rdaed:freeTranslationOfExpression.en,rdaed:P20140,property,rdac:C10006,rdae:P20140,rdaed:P20204,,Published
is translation of,rdaed:translationOf.en,rdaed:P20141,property,rdac:C10006,rdae:P20141,rdaed:P20204,,Published
is parodied as expression,rdaed:parodiedAsExpression.en,rdaed:P20142,property,rdac:C10006,rdae:P20142,rdaed:P20114,,Published
is absorbed by expression,rdaed:absorbedByExpression.en,rdaed:P20143,property,rdac:C10006,rdae:P20143,rdaed:P20169,,Published
is absorbed in part by expression,rdaed:absorbedInPartByExpression.en,rdaed:P20144,property,rdac:C10006,rdae:P20144,rdaed:P20169,,Published
has part expression,rdaed:partExpression.en,rdaed:P20145,property,rdac:C10006,rdae:P20145,rdaed:P20205,,Published
is errata to expression,rdaed:errataToExpression.en,rdaed:P20146,property,rdac:C10006,rdae:P20146,rdaed:P20192,,Published
is guide to expression,rdaed:guideToExpression.en,rdaed:P20147,property,rdac:C10006,rdae:P20147,rdaed:P20192,,Published
is illustrations for expression,rdaed:illustrationsForExpression.en,rdaed:P20148,property,rdac:C10006,rdae:P20148,rdaed:P20192,,Published
is continuation of expression,rdaed:continuationOfExpression.en,rdaed:P20149,property,rdac:C10006,rdae:P20149,rdaed:P20154,,Published
is supplement to expression,rdaed:supplementToExpression.en,rdaed:P20151,property,rdac:C10006,rdae:P20151,rdaed:P20192,,Published
is adaptation of expression,rdaed:adaptationOfExpression.en,rdaed:P20152,property,rdac:C10006,rdae:P20152,rdaed:P20204,,Published
is adapted as expression,rdaed:adaptedAsExpression.en,rdaed:P20153,property,rdac:C10006,rdae:P20153,rdaed:P20203,,Published
is preceded by expression,rdaed:precededByExpression.en,rdaed:P20154,property,rdac:C10006,rdae:P20154,rdaed:P20205,,Published
has finding aid expression,rdaed:findingAidExpression.en,rdaed:P20155,property,rdac:C10006,rdae:P20155,rdaed:P20105,,Published
has index expression,rdaed:indexExpression.en,rdaed:P20156,property,rdac:C10006,rdae:P20156,rdaed:P20105,,Published
has screenplay expression,rdaed:screenplayExpression.en,rdaed:P20157,property,rdac:C10006,rdae:P20157,rdaed:P20100,,Published
has motion picture screenplay expression,rdaed:motionPictureScreenplayExpression.en,rdaed:P20158,property,rdac:C10006,rdae:P20158,rdaed:P20157,,Published
is musical setting of expression,rdaed:musicalSettingOfExpression.en,rdaed:P20159,property,rdac:C10006,rdae:P20159,rdaed:P20204,,Published
has radio script expression,rdaed:radioScriptExpression.en,rdaed:P20160,property,rdac:C10006,rdae:P20160,rdaed:P20100,,Published
has television screenplay expression,rdaed:televisionScreenplayExpression.en,rdaed:P20161,property,rdac:C10006,rdae:P20161,rdaed:P20157,,Published
has video screenplay expression,rdaed:videoScreenplayExpression.en,rdaed:P20162,property,rdac:C10006,rdae:P20162,rdaed:P20157,,Published
has libretto expression,rdaed:librettoExpression.en,rdaed:P20163,property,rdac:C10006,rdae:P20163,rdaed:P20100,,Published
is paraphrased as expression,rdaed:paraphrasedAsExpression.en,rdaed:P20164,property,rdac:C10006,rdae:P20164,rdaed:P20203,,Published
is arranged as,rdaed:arrangedAs.en,rdaed:P20165,property,rdac:C10006,rdae:P20165,rdaed:P20203,,Published
is abridged as expression,rdaed:abridgedAsExpression.en,rdaed:P20166,property,rdac:C10006,rdae:P20166,rdaed:P20203,,Published
is split from expression,rdaed:splitFromExpression.en,rdaed:P20167,property,rdac:C10006,rdae:P20167,rdaed:P20154,,Published
is separated from expression,rdaed:separatedFromExpression.en,rdaed:P20168,property,rdac:C10006,rdae:P20168,rdaed:P20154,,Published
is succeeded by expression,rdaed:succeededByExpression.en,rdaed:P20169,property,rdac:C10006,rdae:P20169,rdaed:P20205,,Published
is digested as expression,rdaed:digestedAsExpression.en,rdaed:P20170,property,rdac:C10006,rdae:P20170,rdaed:P20203,,Published
is translated as,rdaed:translatedAs.en,rdaed:P20171,property,rdac:C10006,rdae:P20171,rdaed:P20203,,Published
has supplement expression,rdaed:supplementExpression.en,rdaed:P20172,property,rdac:C10006,rdae:P20172,rdaed:P20105,,Published
is screenplay for motion picture expression,rdaed:screenplayForMotionPictureExpression.en,rdaed:P20173,property,rdac:C10006,rdae:P20173,rdaed:P20102,,Published
is screenplay for television program expression,rdaed:screenplayForTelevisionProgramExpression.en,rdaed:P20174,property,rdac:C10006,rdae:P20174,rdaed:P20102,,Published
is screenplay for video expression,rdaed:screenplayForVideoExpression.en,rdaed:P20175,property,rdac:C10006,rdae:P20175,rdaed:P20102,,Published
is script for radio program expression,rdaed:scriptForRadioProgramExpression.en,rdaed:P20176,property,rdac:C10006,rdae:P20176,rdaed:P20100,,Published
is addenda to expression,rdaed:addendaToExpression.en,rdaed:P20177,property,rdac:C10006,rdae:P20177,rdaed:P20192,,Published
is summary of expression,rdaed:summaryOfExpression.en,rdaed:P20179,property,rdac:C10006,rdae:P20179,rdaed:P20204,,Published
is catalogue of expression,rdaed:catalogueOfExpression.en,rdaed:P20180,property,rdac:C10006,rdae:P20180,rdaed:P20192,,Published
is concordance to expression,rdaed:concordanceToExpression.en,rdaed:P20181,property,rdac:C10006,rdae:P20181,rdaed:P20192,,Published
is choreographic adaptation of expression,rdaed:choreographicAdaptationOfExpression.en,rdaed:P20183,property,rdac:C10006,rdae:P20183,rdaed:P20152,,Published
is expanded version of expression,rdaed:expandedVersionOfExpression.en,rdaed:P20184,property,rdac:C10006,rdae:P20184,rdaed:P20204,,Published
is remake of expression,rdaed:remakeOfExpression.en,rdaed:P20185,property,rdac:C10006,rdae:P20185,rdaed:P20204,,Published
is paraphrase of expression,rdaed:paraphraseOfExpression.en,rdaed:P20186,property,rdac:C10006,rdae:P20186,rdaed:P20204,,Published
is index to expression,rdaed:indexToExpression.en,rdaed:P20188,property,rdac:C10006,rdae:P20188,rdaed:P20192,,Published
is revision of,rdaed:revisionOf.en,rdaed:P20189,property,rdac:C10006,rdae:P20189,rdaed:P20204,,Published
is libretto based on expression,rdaed:librettoBasedOnExpression.en,rdaed:P20190,property,rdac:C10006,rdae:P20190,rdaed:P20152,,Published
is continued by expression,rdaed:continuedByExpression.en,rdaed:P20191,property,rdac:C10006,rdae:P20191,rdaed:P20169,,Published
is augmentation of expression,rdaed:augmentationOfExpression.en,rdaed:P20192,property,rdac:C10006,rdae:P20192,rdaed:P20205,,Published
is abstracts for expression,rdaed:abstractsForExpression.en,rdaed:P20193,property,rdac:C10006,rdae:P20193,rdaed:P20204,,Published
is indexing for expression,rdaed:indexingForExpression.en,rdaed:P20194,property,rdac:C10006,rdae:P20194,rdaed:P20204,,Published
is imitation of expression,rdaed:imitationOfExpression.en,rdaed:P20195,property,rdac:C10006,rdae:P20195,rdaed:P20204,,Published
is parody of expression,rdaed:parodyOfExpression.en,rdaed:P20196,property,rdac:C10006,rdae:P20196,rdaed:P20195,,Published
is finding aid for expression,rdaed:findingAidForExpression.en,rdaed:P20197,property,rdac:C10006,rdae:P20197,rdaed:P20192,,Published
is replacement in part of expression,rdaed:replacementInPartOfExpression.en,rdaed:P20198,property,rdac:C10006,rdae:P20198,rdaed:P20154,,Published
is replacement of expression,rdaed:replacementOfExpression.en,rdaed:P20199,property,rdac:C10006,rdae:P20199,rdaed:P20154,,Published
is split into expression,rdaed:splitIntoExpression.en,rdaed:P20200,property,rdac:C10006,rdae:P20200,rdaed:P20169,,Published
is merger of expression,rdaed:mergerOfExpression.en,rdaed:P20201,property,rdac:C10006,rdae:P20201,rdaed:P20154,,Published
has derivative expression,rdaed:derivativeExpression.en,rdaed:P20203,property,rdac:C10006,rdae:P20203,rdaed:P20205,,Published
is based on expression,rdaed:basedOnExpression.en,rdaed:P20204,property,rdac:C10006,rdae:P20204,rdaed:P20205,,Published
has related expression of expression,rdaed:relatedExpressionExpression.en,rdaed:P20205,property,rdac:C10006,rdae:P20205,rdaed:P20297,,Published
has supplementary content (Deprecated),rdaed:supplementaryContent.en,rdaed:P20206,property,rdac:C10006,rdae:P20206,,,Deprecated
has illustrative content (Deprecated),rdaed:illustrativeContent.en,rdaed:P20207,property,rdac:C10006,rdae:P20207,,,Deprecated
has accessibility content (Deprecated),rdaed:accessibilityContent.en,rdaed:P20208,property,rdac:C10006,rdae:P20208,,,Deprecated
has format of notated music,rdaed:formatOfNotatedMusic.en,rdaed:P20209,property,rdac:C10006,rdae:P20209,,,Published
has details of cartographic content,rdaed:detailsOfCartographicContent.en,rdaed:P20210,property,rdac:C10006,rdae:P20210,,,Published
is revised as,rdaed:revisedAs.en,rdaed:P20211,property,rdac:C10006,rdae:P20211,rdaed:P20203,,Published
is merged to form expression,rdaed:mergedToFormExpression.en,rdaed:P20212,property,rdac:C10006,rdae:P20212,rdaed:P20169,,Published
has additional scale information,rdaed:additionalScaleInformation.en,rdaed:P20213,property,rdac:C10006,rdae:P20213,rdaed:P20228,,Published
has date of expression,rdaed:dateOfExpression.en,rdaed:P20214,property,rdac:C10006,rdae:P20214,rdaed:P20307,,Published
has medium of performance of musical content,rdaed:mediumOfPerformanceOfMusicalContent.en,rdaed:P20215,property,rdac:C10006,rdae:P20215,,,Published
has projection of cartographic content,rdaed:projectionOfCartographicContent.en,rdaed:P20216,property,rdac:C10006,rdae:P20216,,,Published
has capture information,rdaed:captureInformation.en,rdaed:P20217,property,rdac:C10006,rdae:P20217,,,Published
has place of capture,rdaed:placeOfCapture.en,rdaed:P20218,property,rdac:C10006,rdae:P20218,rdaed:P20306,rdaed:P20217,Published
has duration,rdaed:duration.en,rdaed:P20219,property,rdac:C10006,rdae:P20219,rdaed:P20307,,Published
has colour content (Deprecated),rdaed:colourContent.en,rdaed:P20224,property,rdac:C10006,rdae:P20224,,,Deprecated
has sound content (Deprecated),rdaed:soundContent.en,rdaed:P20225,property,rdac:C10006,rdae:P20225,,,Deprecated
has horizontal scale of cartographic content,rdaed:horizontalScaleOfCartographicContent.en,rdaed:P20226,property,rdac:C10006,rdae:P20226,rdaed:P20228,,Published
has scale of still image or three-dimensional form,rdaed:scaleOfStillImageOrThreeDimensionalForm.en,rdaed:P20227,property,rdac:C10006,rdae:P20227,rdaed:P20228,,Published
has scale,rdaed:scale.en,rdaed:P20228,property,rdac:C10006,rdae:P20228,,,Published
has aspect ratio,rdaed:aspectRatioDesignation.en,rdaed:P20229,property,rdac:C10006,rdae:P20229,,,Published
has vertical scale of cartographic content,rdaed:verticalScaleOfCartographicContent.en,rdaed:P20230,property,rdac:C10006,rdae:P20230,rdaed:P20228,,Published
has work expressed,rdaed:workExpressed.en,rdaed:P20231,property,rdac:C10006,rdae:P20231,rdaed:P20298,,Published
